Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-1040.423	-1247.988	207.565	1.450494	1.424438	0.5084996	0.478098	0.521902	3.238328
6	-1046.125	-1254.24	208.115	1.697408	1.219359	0.7462293	0.629791	0.370209	2.655116
12	-1026.314	-1235.037	208.7228	1.680583	1.357947	0.3210999	0.528986	0.471014	2.647233
18	-1018.865	-1227.851	208.9863	1.535125	1.190213	0.3210999	0.538573	0.461427	2.660632
24	-1023.238	-1232.675	209.4373	1.878696	1.097228	0.3048176	0.538573	0.461427	2.237168
30	-1011.603	-1221.281	209.6778	1.865019	1.183505	0.3048176	0.429305	0.570695	2.038062
36	-1027.387	-1237.081	209.6935	1.896181	1.183505	0.3048176	0.454563	0.545437	2.006926
42	-1031.455	-1241.334	209.8797	1.843058	1.183505	0.2505514	0.353835	0.646165	2.006926
48	-1051.86	-1260.442	208.5828	1.851136	2.718005	0.3197402	0.475384	0.524616	2.118496
54	-1054.009	-1262.945	208.9357	1.909122	1.466688	1.164621	0.307299	0.692701	1.55309
60	-1046.009	-1254.866	208.8563	1.939853	1.466688	1.401795	0.307299	0.692701	1.441944
66	-1040.414	-1248.936	208.5226	1.990429	1.49667	1.664849	0.307299	0.692701	1.495478
72	-1023.356	-1232.364	209.0087	1.898424	1.806455	0.6129314	0.557165	0.442835	1.780897
78	-1013.446	-1221.934	208.4882	1.764352	2.055178	0.6129314	0.42536	0.57464	2.120376
84	-1010.551	-1219.552	209.0016	1.908363	1.780421	0.5185655	0.49664	0.50336	1.888846
90	-1016.655	-1226.134	209.4788	1.725264	1.227269	0.5084268	0.49664	0.50336	1.977048
96	-1015.12	-1225.27	210.1501	1.955914	0.9564531	0.6012799	0.458101	0.541899	1.414284
102	-1025.803	-1235.681	209.878	2.057848	0.9564531	0.8080972	0.532563	0.467437	1.336694
108	-1019.238	-1228.654	209.4166	1.819688	0.8971746	0.8080972	0.494916	0.505084	1.891383
114	-1041.724	-1251.232	209.5072	1.729151	0.8971746	0.8080972	0.38676	0.61324	1.891383
120	-1019.037	-1227.868	208.8311	1.565209	1.017635	0.513466	0.436224	0.563776	2.612417
126	-1028.198	-1237.719	209.5219	1.704434	1.095353	0.405853	0.479027	0.520973	2.159462
132	-1041.457	-1251.409	209.9521	1.683404	0.7183606	0.405853	0.57491	0.42509	2.159462
138	-1023.742	-1233.398	209.6554	1.638608	0.9294717	0.4365782	0.450337	0.549663	2.185237
144	-1020.489	-1230.172	209.6832	1.760191	0.7879009	0.4418137	0.499468	0.500532	2.185237
150	-1025.766	-1235.672	209.906	1.705628	0.6558892	0.4418137	0.531784	0.468216	2.185237
156	-1021.066	-1231.937	210.8718	1.973251	0.6558892	0.4418137	0.405532	0.594468	1.314281
162	-1023.216	-1233.963	210.7471	2.076683	0.7376406	0.4418137	0.36273	0.63727	1.244075
168	-1016.823	-1226.997	210.1739	2.006941	0.7986649	0.8451108	0.469535	0.530465	1.244075
174	-1014.197	-1223.822	209.6253	1.748701	1.076513	0.5657569	0.47144	0.52856	1.893114
180	-1028.74	-1238.043	209.3028	1.882367	1.29063	0.5657569	0.330149	0.669851	1.893114
186	-1029.934	-1239.382	209.4481	1.781913	1.175146	0.3732704	0.609999	0.390001	2.151431
192	-1023.558	-1234.629	211.0702	2.361686	0.6575966	0.2297846	0.383727	0.616273	1.213016
198	-1029.29	-1239.851	210.5608	2.265492	0.6575966	0.2353193	0.517164	0.482836	1.667341
204	-1020.148	-1230.465	210.3172	1.654071	0.7265048	0.6733469	0.402205	0.597795	1.63529
210	-1047.43	-1257.864	210.4336	1.88433	0.6863163	0.480824	0.52484	0.47516	1.631394
216	-1040.107	-1250.226	210.1193	1.988779	1.104877	0.4276471	0.492536	0.507464	1.517203
222	-1052.465	-1261.087	208.6228	1.759137	2.181837	0.6442739	0.573833	0.426167	1.958399
228	-1035.198	-1244.063	208.8642	1.961827	1.930499	0.5085542	0.455283	0.544717	1.893469
234	-1047.998	-1256.393	208.3951	1.771556	2.257137	0.4926434	0.706099	0.293901	2.224252
240	-1041.668	-1251.046	209.3783	2.160816	2.09203	0.5132013	0.485004	0.514996	1.296638
246	-1032.312	-1241.154	208.8417	1.867957	2.052709	0.6267113	0.533684	0.466316	1.801131
252	-1030.032	-1239.281	209.2489	1.721978	3.073438	0.3834843	0.459212	0.540788	1.548531
